Regione,Area,Spesa,Iscritti,Followees,Tweet
Libera Univ. degli Studi "Maria SS.Assunta" - LUMSA - Roma,C,794,6354,1069,1478
Libera Univ. Inter.le Studi Sociali "Guido Carli" LUISS-ROMA,C,14863,7157,365,2655
Libera Università "Vita Salute S.Raffaele" MILANO,N,485,1965,79,137
Libera Università di BOLZANO,N,261,2338,36,466
Libera Università di lingue e comunicazione IULM-MI,N,4286,4283,34,830
LINK CAMPUS University,C,109,0,54,65
LUM "Jean Monnet",S,1040,1243,25,1996
Politecnico di MILANO,N,12222,37626,76,2357
Politecnico di TORINO,N,3789,28777,39,549
Scuola IMT – Istituzioni Mercati Tecnologie - Alti Studi - LUCCA,C,251,111,192,244
Scuola Internazionale Superiore di Studi Avanzati di TRIESTE,N,1344,365,1312,343
Scuola Normale Superiore di PISA,C,1418,457,170,509
Scuola Superiore di Studi Universitari e Perfezionamento Sant'Anna,N,714,318,794,1109
UKE - Università Kore di ENNA,S,164,5523,0,1
UNICUSANO Università degli Studi Niccol√≤ Cusano -Telematica Roma,C,667,9854,49,1479
Università "Cà Foscari" VENEZIA,N,6717,17559,284,2920
Università "Campus Bio-Medico" di ROMA,C,594,1458,1074,373
Università "Carlo Cattaneo" - LIUC,N,1618,1785,92,450
Università Cattolica del Sacro Cuore,N,2439,38825,14,518
Università Commerciale "Luigi Bocconi" MILANO,N,8741,13221,0,290
Università degli Studi "G. d'Annunzio" CHIETI-PESCARA,C,632,31757,9,230
Università degli Studi "Magna Graecia" di CATANZARO,S,29,9881,2,240
Università degli Studi "Mediterranea" di REGGIO CALABRIA,S,534,8975,68,203
Università degli Studi de L'AQUILA,C,1156,24333,0,872
Università degli Studi del SANNIO di BENEVENTO,S,327,6190,74,92
Università degli Studi di BARI ALDO MORO,S,2379,56305,2,697
Università degli Studi di BERGAMO,N,303,14341,0,8
Università degli Studi di BOLOGNA,C,4968,82363,935,7337
Università degli Studi di BRESCIA,N,659,14310,0,163
Università degli Studi di CAGLIARI,C,3019,28676,0,0
Università degli Studi di CAMERINO,C,396,7803,24,236
Università degli Studi di CASSINO e del LAZIO MERIDIONALE,C,1893,10320,32,192
Università degli Studi di CATANIA,S,1162,51172,49,1
Università degli Studi di FERRARA,C,279,16977,27,97
Università degli Studi di FOGGIA,S,2498,10839,0,4148
Università degli Studi di GENOVA,N,124,34209,0,0
Università degli Studi di MACERATA,C,1215,10116,133,2137
Università degli Studi di MESSINA,S,151,31340,1,432
Università degli Studi di MILANO,N,2491,58440,2,1330
Università degli Studi di MILANO-BICOCCA,N,5025,32941,126,1236
Università degli Studi di MODENA e REGGIO EMILIA,C,1821,17194,0,1048
Università degli Studi di NAPOLI "Federico II",S,5465,84320,1425,305
Università degli Studi di PADOVA,N,383,59317,181,66
Università degli Studi di PARMA,C,4405,26542,7,591
Università degli Studi di PAVIA,N,3385,21349,23,1056
Università degli Studi di PERUGIA,C,1047,27934,25,377
Università degli Studi di ROMA "La Sapienza",C,6141,113042,93,991
Università degli Studi di ROMA "Tor Vergata",C,205,33591,5,275
Università degli Studi di SASSARI,C,1576,13850,14,325
Università degli Studi di SCIENZE GASTRONOMICHE,N,1261,256,39,336
Università degli Studi di SIENA,C,399,15958,19,4
Università degli Studi di TERAMO,S,2128,7809,119,949
Università degli Studi di TORINO,N,11384,63107,35,3646
Università degli Studi di TRENTO,N,4,16331,1,0
Università degli Studi di TRIESTE,N,868,18126,69,391
Università degli Studi di UDINE,N,3346,15165,1213,3018
Università degli Studi di URBINO "Carlo BO",C,3881,14449,154,519
Università degli Studi di VERONA,N,3754,21622,130,727
Università degli Studi EUROPEA di ROMA,C,682,903,94,1120
Università degli Studi Internazionali di ROMA (UNINT),C,799,1220,34,444
Università degli Studi ROMA TRE,C,96,35450,12,198
Università della CALABRIA,S,659,31467,76,33
Università della VALLE D'AOSTA,N,228,1133,0,172
Università di PISA,C,4540,49336,129,1081
Università IUAV di VENEZIA,N,3105,5387,128,927
Università per Stranieri di SIENA,C,915,732,686,199
Università Politecnica delle MARCHE,C,263,16494,0,75
Università Telematica "E-CAMPUS",N,986,6635,310,2756
Università Telematica "GIUSTINO FORTUNATO",C,113,425,189,177
Università Telematica Internazionale UNINETTUNO,N,234,8966,94,217
Università Telematica PEGASO,C,272,3607,210,737
Università Telematica UNITELMA SAPIENZA,C,121,1583,62,74
